Episode reward: 0.850	Steps: 16	Avg. loss: 0.0	Avg. reward: 0.85	Avg. Q: 1.0	Greedinessless: 0.85	Vanilla reward: 24.000
Episode reward: -0.750	Steps: 5604	Avg. loss: 0.004101700203471792	Avg. reward: -0.31680851063829807	Avg. Q: 0.8244680923885769	Greedinessless: 0.02	Vanilla reward: -385.000
Episode reward: 0.910	Steps: 5614	Avg. loss: 0.006331633521767799	Avg. reward: -0.30389473684210544	Avg. Q: 0.8107301572958628	Greedinessless: 0.02	Vanilla reward: 63.000
Episode reward: -0.750	Steps: 5689	Avg. loss: 0.002639694942971753	Avg. reward: -0.3085416666666669	Avg. Q: 0.8032028484344482	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 5764	Avg. loss: 0.0019625673962046244	Avg. reward: -0.31309278350515485	Avg. Q: 0.8396771256128946	Greedinessless: 0.02	Vanilla reward: -395.000
Episode reward: -0.750	Steps: 5839	Avg. loss: 0.0031690398643857203	Avg. reward: -0.31755102040816346	Avg. Q: 0.8001044021712409	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 5914	Avg. loss: 0.0015035064005994507	Avg. reward: -0.3219191919191921	Avg. Q: 0.7882693635092841	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 5989	Avg. loss: 0.0026424511459864383	Avg. reward: -0.3262000000000002	Avg. Q: 0.8047152288754781	Greedinessless: 0.02	Vanilla reward: -330.000
Episode reward: 0.990	Steps: 5991	Avg. loss: 0.0	Avg. reward: -0.3248000000000002	Avg. Q: 0.8496678471565247	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: 0.850	Steps: 6007	Avg. loss: 0.00014879670197842643	Avg. reward: -0.3251000000000001	Avg. Q: 0.841625027358532	Greedinessless: 0.02	Vanilla reward: 19.000
Episode reward: -0.750	Steps: 6082	Avg. loss: 0.004929223463764892	Avg. reward: -0.3415000000000002	Avg. Q: 0.7690966317388747	Greedinessless: 0.02	Vanilla reward: -320.000
Episode reward: 0.740	Steps: 6109	Avg. loss: 0.001954383823301344	Avg. reward: -0.3266000000000001	Avg. Q: 0.7918931392975795	Greedinessless: 0.02	Vanilla reward: -5.000
Episode reward: -0.750	Steps: 6184	Avg. loss: 0.002499319767115307	Avg. reward: -0.32660000000000017	Avg. Q: 0.7795701297124227	Greedinessless: 0.02	Vanilla reward: -330.000
Episode reward: -0.750	Steps: 6259	Avg. loss: 0.0023494462455144255	Avg. reward: -0.3397000000000001	Avg. Q: 0.7809002508057489	Greedinessless: 0.02	Vanilla reward: -315.000
Episode reward: 0.990	Steps: 6261	Avg. loss: 0.00011570299102459103	Avg. reward: -0.3223000000000002	Avg. Q: 0.8315280477205912	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: 0.990	Steps: 6263	Avg. loss: 0.0	Avg. reward: -0.3049000000000002	Avg. Q: 0.8327040076255798	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: 0.770	Steps: 6287	Avg. loss: 0.001230786456289934	Avg. reward: -0.28970000000000024	Avg. Q: 0.8326465876566039	Greedinessless: 0.02	Vanilla reward: -24.000
Episode reward: -0.750	Steps: 6362	Avg. loss: 0.0015067609201651067	Avg. reward: -0.3049000000000003	Avg. Q: 0.7964332622951932	Greedinessless: 0.02	Vanilla reward: -335.000
Episode reward: -0.750	Steps: 6437	Avg. loss: 0.0024632523039288478	Avg. reward: -0.3222000000000002	Avg. Q: 0.7871707230144077	Greedinessless: 0.02	Vanilla reward: -345.000
Episode reward: 0.990	Steps: 6439	Avg. loss: 0.0	Avg. reward: -0.30480000000000024	Avg. Q: 0.8395027120908102	Greedinessless: 0.02	Vanilla reward: 95.000
